id,Leaf_score_ratio,Stem_score_ratio
LOAL-141,0.12867801523334352,0.22360679774997896
LOAL-142,0.37940731849841003,0.4927992798267444
LOAL-143,0.6875246964295774,0.7185211992612681
LOAL-15,0.5717060248668256,0.408248290463863
LOAL-16,0.4767312946227962,0.6546536707079771
LOAL-17,1,0.8660254037844386
LOAL-18,0.6910234688780047,0.5841544061015158
LOAL-19,0.5668714440993838,0.613666733404743
LOAL-2,0,0.4602651114043274
LOAL-20,0.4330253974306224,0.4766823065704944
LOAL-21,0.5558375448733908,0.6499396928148143
LOAL-22,0.4950476725844564,0.5372909176714915
LOAL-23,0.44273548330965606,0.48627627513782007
LOAL-24,0.6786686204430958,0.7902368852402643
LOAL-25,0.6206923200344023,0.3880590788274391
LOAL-26,0.7258327199934954,0.738427802551532
LOAL-27,0.2672612419124244,0
LOAL-28,0.9173598110732337,0.941913952783518
LOAL-3,0.6286705229616252,0.6452257149216516
LOAL-30,0.41438726931073144,0.5761328065458091
LOAL-31,0.3455802617130498,0.13608276348795434
LOAL-32,0.961470641832285,0.8677264795441033
LOAL-33,0.2804776556100751,0.1767766952966369
LOAL-34,0.460592761805655,0.5642351136133454
LOAL-35,0.0625,0.23569269357217795
LOAL-36,0.36196748444393106,0.4842627053809149
LOAL-37,0.5449675465162223,0.6957174071948349
LOAL-38,0.5547001962252291,0.6697811566101117
LOAL-39,0.19672882639085884,0.34484082794161625
LOAL-4,0.6384297963452897,0.6165935341007464
LOAL-41,0.19611613513818404,0.36169041806525826
LOAL-42,0.7044252255772169,0.7134330326775801
LOAL-43,0.7692185179245064,0.8535533905932737
LOAL-44,0.49243074778128937,0.5877547661881437
LOAL-45,0.7175519485211852,0.8273268353539885
LOAL-46,0.10825317547305482,0.2986152634842383
LOAL-47,0,0
LOAL-48,0.1479019945774904,0.3719793544993742
LOAL-49,0.3879210768179819,0.5412264241950353
LOAL-5,0.6411917336625315,0.628823140751986
LOAL-50,0.4879500364742666,0.408248290463863
LOAL-52,0.2670033110327011,0.47765737109942646
LOAL-53,0,0
LOAL-54,0.5,0.6160019699488014
LOAL-55,0.3086066999241838,0
LOAL-56,0.42265660653730014,0.5187217664678563
LOAL-57,0.10814354645876384,0
LOAL-58,0.5145282579547144,0.5561862178478972
LOAL-59,0.5566021988573228,0.46545182989144973
LOAL-6,0.6454972243679028,0.7071067811865476
LOAL-60,0.3971474148244592,0.5489649731735478
LOAL-61,0.4105403408922107,0.46041019662496846
LOAL-62,0.7564945880212885,0.8779644730092272
LOAL-63,0.29532004237890563,0.36169041806525826
LOAL-64,0.5413218876805808,0.6572591533965139
LOAL-65,0.6080304757256272,0.6830127018922193
LOAL-66,0.3886384525877808,0.5523397989077532
LOAL-67,0.5379979349698059,0.6321553101237589
LOAL-68,0.522638201140049,0.6324555320336759
LOAL-69,0.27041573324711843,0.6235657128998687
LOAL-7,0.8679044774767318,0.8411265849006383
LOAL-70,0.6683300132670378,0.7618016810571369
LOAL-71,0.48507125007266594,0.5
LOAL-73,0.510955405236916,0.5513969292511656
LOAL-74,0.07856742013183861,0.17955837819827095
LOAL-75,0.10825317547305482,0.41798961672288676
LOAL-76,0.7558775242055744,0.6573392817512997
LOAL-77,0.20249721379522806,0.2672612419124244
LOAL-78,0,0.1889822365046136
LOAL-79,0,0.0944911182523068
LOAL-80,0.5075410479951238,0.8207080616344942
LOAL-81,0.2773500981126146,0.3779644730092272
LOAL-82,0.24423037757512936,0.4010475138394708
LOAL-83,0.4214344783543869,0.5848905783050559
LOAL-84,0.4264014327112209,0.816496580927726
LOAL-85,0.32171241166904607,0.3444911182523068
LOAL-86,0.04564354645876384,0
LOAL-87,0.2874177138737399,0.3962678135489437
LOAL-88,0.35290938568244434,0.4927992798267444
LOAL-89,0.39129618953836176,0.4745213791218912
LOAL-9,0.5484048064836085,0.599082450847662
LOAL-90,0.1111111111111111,0.14907119849998599
LOAL-91,0.39036442569136043,0.41246938886881485
LOAL-92,0.31622776601683794,0.6513377407318894
LOAL-93,0.9525544190315799,0.8507536786383547
LOAL-95,0.44569638464722794,0.5559363765072373
LOAL-97,0.7238037410487759,0.7596663801271252
LOAL-98,0.6012729645166246,0.7071067811865476
LOAL-99,0.8257228238447705,0.9128709291752769
